AREFNO,Borough,Boro,Easting,Northing,CREFNO,Casualty Class,Casualty Sex,Casualty Age (Banded),Casualty Age,No. of Casualties,Casualty Severity,Ped. Location,Ped. Movement,Mode of Travel, 
0113EK40646,CAMDEN,2,528690,185910,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0113EK40647,CAMDEN,2,529840,182210,1,1 Driver/Rider,2 Female,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40650,CAMDEN,2,530030,182210,1,1 Driver/Rider,2 Female,16-24,24,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40651,CAMDEN,2,528970,184870,1,1 Driver/Rider,2 Female,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40652,CAMDEN,2,530060,181130,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40654,CAMDEN,2,525390,184170,1,1 Driver/Rider,2 Female,25-59,26,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40657,CAMDEN,2,529210,183830,1,2 Passenger,2 Female,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40658,CAMDEN,2,529810,181370,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40659,CAMDEN,2,525480,185490,1,1 Driver/Rider,1 Male,60+,75,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40662,CAMDEN,2,528760,183570,1,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40665,CAMDEN,2,525300,183770,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40666,CAMDEN,2,528910,183870,1,3 Pedestrian,1 Male,16-24,22,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0113EK40668,CAMDEN,2,529950,181070,1,2 Passenger,2 Female,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40669,CAMDEN,2,529090,184040,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40670,CAMDEN,2,530200,181420,1,2 Passenger,1 Male,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40671,CAMDEN,2,525210,185930,1,1 Driver/Rider,2 Female,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40672,CAMDEN,2,528680,184160,1,3 Pedestrian,2 Female,16-24,23,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0113EK40673,CAMDEN,2,529620,182780,1,3 Pedestrian,1 Male,25-59,45,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40674,CAMDEN,2,529080,183210,1,2 Passenger,2 Female,60+,68,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40675,CAMDEN,2,530370,181780,2,2 Passenger,1 Male,0-15,9,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40675,CAMDEN,2,530370,181780,1,2 Passenger,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40677,CAMDEN,2,528810,183810,1,1 Driver/Rider,1 Male,25-59,52,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40678,CAMDEN,2,530980,181990,2,3 Pedestrian,2 Female,16-24,19,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40678,CAMDEN,2,530980,181990,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40679,CAMDEN,2,525460,185500,1,1 Driver/Rider,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40680,CAMDEN,2,527660,185120,1,3 Pedestrian,2 Female,0-15,15,1,2 Serious,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0113EK40681,CAMDEN,2,530040,182200,1,1 Driver/Rider,2 Female,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40682,CAMDEN,2,528700,182870,1,1 Driver/Rider,1 Male,16-24,22,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40684,CAMDEN,2,528600,183470,1,1 Driver/Rider,1 Male,60+,60,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40685,CAMDEN,2,529150,183140,1,1 Driver/Rider,1 Male,25-59,29,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40686,CAMDEN,2,529970,181100,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40687,CAMDEN,2,529130,185190,1,3 Pedestrian,2 Female,25-59,39,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40688,CAMDEN,2,529870,181390,1,3 Pedestrian,2 Female,25-59,41,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0113EK40690,CAMDEN,2,530360,181230,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40691,CAMDEN,2,525380,183700,1,1 Driver/Rider,1 Male,16-24,18,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40692,CAMDEN,2,529010,185190,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40694,CAMDEN,2,529010,183670,1,1 Driver/Rider,2 Female,16-24,20,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40696,CAMDEN,2,526420,184550,1,1 Driver/Rider,2 Female,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40697,CAMDEN,2,531520,181780,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40699,CAMDEN,2,531550,181640,1,3 Pedestrian,1 Male,16-24,24,1,2 Serious,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0113EK40700,CAMDEN,2,525460,185500,1,1 Driver/Rider,2 Female,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40701,CAMDEN,2,525050,185070,1,1 Driver/Rider,2 Female,60+,64,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40702,CAMDEN,2,524150,185470,1,1 Driver/Rider,2 Female,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40703,CAMDEN,2,530470,181690,1,1 Driver/Rider,2 Female,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40704,CAMDEN,2,530260,181920,1,3 Pedestrian,1 Male,25-59,53,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0113EK40705,CAMDEN,2,526370,184590,1,3 Pedestrian,2 Female,25-59,31,1,3 Slight,04 Crossing Road Within 50m Xing,4 From Drivers O/Side Msk,1 Pedestrian, 
0113EK40706,CAMDEN,2,526090,185040,1,3 Pedestrian,2 Female,25-59,45,1,2 Serious,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0113EK40707,CAMDEN,2,530840,181320,1,3 Pedestrian,1 Male,16-24,19,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian, 
0113EK40709,CAMDEN,2,530460,181670,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40710,CAMDEN,2,529410,185050,1,1 Driver/Rider,2 Female,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40711,CAMDEN,2,528950,183920,1,2 Passenger,2 Female,60+,81,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40712,CAMDEN,2,529210,184150,1,1 Driver/Rider,1 Male,25-59,43,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40713,CAMDEN,2,526920,183880,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40713,CAMDEN,2,526920,183880,2,2 Passenger,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40715,CAMDEN,2,530500,182170,1,3 Pedestrian,1 Male,0-15,5,1,3 Slight,01 Crossing Road On Ped Xing,3 From Drivers O/Side,1 Pedestrian, 
0113EK40716,CAMDEN,2,525390,183650,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40717,CAMDEN,2,528370,185160,1,1 Driver/Rider,1 Male,25-59,55,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40718,CAMDEN,2,527520,184340,1,1 Driver/Rider,1 Male,25-59,27,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40719,CAMDEN,2,525670,185330,1,1 Driver/Rider,1 Male,60+,62,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0113EK40720,CAMDEN,2,528940,184180,1,1 Driver/Rider,1 Male,25-59,53,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40721,CAMDEN,2,530450,181690,1,1 Driver/Rider,2 Female,60+,63,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40722,CAMDEN,2,528210,185590,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40724,CAMDEN,2,530070,181440,1,3 Pedestrian,2 Female,25-59,31,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0113EK40725,CAMDEN,2,526340,186150,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40727,CAMDEN,2,527370,183470,1,1 Driver/Rider,1 Male,25-59,57,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40728,CAMDEN,2,529320,183190,1,3 Pedestrian,1 Male,25-59,34,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40729,CAMDEN,2,526310,184700,1,1 Driver/Rider,1 Male,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0113EK40729,CAMDEN,2,526310,184700,2,2 Passenger,2 Female,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,7 Goods Vehicle, 
0113EK40730,CAMDEN,2,530180,181340,1,1 Driver/Rider,1 Male,25-59,48,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40733,CAMDEN,2,529580,182840,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40734,CAMDEN,2,530430,182550,1,1 Driver/Rider,2 Female,60+,80,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40735,CAMDEN,2,526860,185870,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40736,CAMDEN,2,525980,187020,1,1 Driver/Rider,2 Female,60+,67,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40736,CAMDEN,2,525980,187020,2,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40738,CAMDEN,2,529450,181700,1,3 Pedestrian,2 Female,16-24,22,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40739,CAMDEN,2,529210,182600,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40740,CAMDEN,2,530550,181420,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40741,CAMDEN,2,530070,181410,1,2 Passenger,2 Female,25-59,39,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40742,CAMDEN,2,527710,185670,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40743,CAMDEN,2,527500,184450,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40745,CAMDEN,2,529440,181700,1,1 Driver/Rider,1 Male,25-59,42,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40746,CAMDEN,2,529090,182230,2,3 Pedestrian,2 Female,25-59,26,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40746,CAMDEN,2,529090,182230,1,3 Pedestrian,2 Female,Unknown,0,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40747,CAMDEN,2,525440,184780,1,3 Pedestrian,2 Female,25-59,39,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40749,CAMDEN,2,527160,185330,1,3 Pedestrian,1 Male,60+,82,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40750,CAMDEN,2,530700,182810,1,1 Driver/Rider,2 Female,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40751,CAMDEN,2,529440,182330,1,3 Pedestrian,2 Female,25-59,44,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0113EK40752,CAMDEN,2,528460,184290,1,1 Driver/Rider,2 Female,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40752,CAMDEN,2,528460,184290,2,2 Passenger,2 Female,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40755,CAMDEN,2,530290,181420,1,3 Pedestrian,2 Female,16-24,23,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0113EK40757,CAMDEN,2,529220,182470,1,1 Driver/Rider,1 Male,25-59,28,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40759,CAMDEN,2,529810,182360,1,3 Pedestrian,1 Male,25-59,28,1,2 Serious,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0113EK40761,CAMDEN,2,529010,185170,1,3 Pedestrian,1 Male,25-59,34,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0113EK40762,CAMDEN,2,528450,184300,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40764,CAMDEN,2,531340,182040,1,1 Driver/Rider,1 Male,25-59,25,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40765,CAMDEN,2,525220,185220,1,1 Driver/Rider,1 Male,25-59,36,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40767,CAMDEN,2,529067,182801,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40768,CAMDEN,2,529230,184120,1,3 Pedestrian,1 Male,25-59,32,1,3 Slight,09 In Road - Not Crossing,6 In Rd Not Crossing Msk,1 Pedestrian, 
0113EK40769,CAMDEN,2,525790,183890,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40770,CAMDEN,2,530560,181790,1,2 Passenger,2 Female,25-59,35,1,2 Serious,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40771,CAMDEN,2,526010,186260,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40772,CAMDEN,2,529300,183660,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40774,CAMDEN,2,526640,184100,2,2 Passenger,2 Female,25-59,34,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40774,CAMDEN,2,526640,184100,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40775,CAMDEN,2,530110,182480,1,3 Pedestrian,2 Female,25-59,30,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0113EK40776,CAMDEN,2,526390,184580,1,3 Pedestrian,1 Male,60+,60,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40777,CAMDEN,2,529730,184860,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40779,CAMDEN,2,525240,184390,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40780,CAMDEN,2,530230,181370,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40781,CAMDEN,2,525510,185470,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40783,CAMDEN,2,529540,182470,1,1 Driver/Rider,1 Male,16-24,23,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40784,CAMDEN,2,525410,184270,1,1 Driver/Rider,2 Female,60+,71,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40785,CAMDEN,2,529210,184230,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40786,CAMDEN,2,529180,184200,1,1 Driver/Rider,1 Male,25-59,46,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40788,CAMDEN,2,526350,185720,1,1 Driver/Rider,1 Male,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40789,CAMDEN,2,529280,184350,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40790,CAMDEN,2,528910,183850,1,1 Driver/Rider,1 Male,25-59,51,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40791,CAMDEN,2,528960,184400,1,1 Driver/Rider,1 Male,25-59,43,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40793,CAMDEN,2,530340,181530,1,3 Pedestrian,1 Male,25-59,59,1,3 Slight,09 In Road - Not Crossing,6 In Rd Not Crossing Msk,1 Pedestrian, 
0113EK40794,CAMDEN,2,530370,181210,1,3 Pedestrian,2 Female,60+,80,1,2 Serious,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40796,CAMDEN,2,529940,181400,1,3 Pedestrian,1 Male,25-59,46,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0113EK40797,CAMDEN,2,525190,185400,1,1 Driver/Rider,1 Male,25-59,30,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40798,CAMDEN,2,528970,184550,1,2 Passenger,2 Female,60+,64,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40799,CAMDEN,2,526360,185650,1,3 Pedestrian,1 Male,25-59,44,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0113EK40800,CAMDEN,2,529330,183620,1,3 Pedestrian,2 Female,Unknown,0,1,3 Slight,04 Crossing Road Within 50m Xing,1 From Drivers N/Side,1 Pedestrian, 
0113EK40801,CAMDEN,2,525699,183965,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0113EK40806,CAMDEN,2,530600,182650,1,1 Driver/Rider,1 Male,25-59,33,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40807,CAMDEN,2,527850,184180,1,3 Pedestrian,1 Male,Unknown,0,1,3 Slight,05 Crossing Road (Not On Xing),2 From Drivers N/Side Msk,1 Pedestrian, 
0113EK40808,CAMDEN,2,530030,182200,1,3 Pedestrian,1 Male,25-59,46,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0113EK40809,CAMDEN,2,530650,181420,1,1 Driver/Rider,2 Female,25-59,51,1,2 Serious,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40810,CAMDEN,2,526570,184880,1,1 Driver/Rider,1 Male,25-59,44,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40811,CAMDEN,2,528260,185070,1,3 Pedestrian,2 Female,25-59,30,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40812,CAMDEN,2,530020,181430,1,2 Passenger,1 Male,25-59,53,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40814,CAMDEN,2,529340,181850,1,3 Pedestrian,1 Male,60+,65,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian, 
0113EK40815,CAMDEN,2,525450,183600,1,3 Pedestrian,1 Male,25-59,39,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40817,CAMDEN,2,527090,185430,1,3 Pedestrian,2 Female,16-24,22,1,3 Slight,05 Crossing Road (Not On Xing),1 From Drivers N/Side,1 Pedestrian, 
0113EK40818,CAMDEN,2,528460,184290,1,3 Pedestrian,2 Female,16-24,19,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0113EK40821,CAMDEN,2,529570,181990,1,1 Driver/Rider,1 Male,16-24,19,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40822,CAMDEN,2,530600,181540,1,3 Pedestrian,1 Male,25-59,31,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0113EK40822,CAMDEN,2,530600,181540,2,1 Driver/Rider,1 Male,16-24,24,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40823,CAMDEN,2,529010,182200,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40824,CAMDEN,2,529720,182230,1,3 Pedestrian,2 Female,16-24,18,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0113EK40825,CAMDEN,2,525660,183350,1,3 Pedestrian,2 Female,Unknown,0,1,3 Slight,04 Crossing Road Within 50m Xing,3 From Drivers O/Side,1 Pedestrian, 
0113EK40827,CAMDEN,2,526810,185340,1,1 Driver/Rider,2 Female,60+,61,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40828,CAMDEN,2,528860,183940,1,1 Driver/Rider,1 Male,Unknown,0,1,3 Slight,-2 Unknown,-2 N/A,4 Car, 
0113EK40829,CAMDEN,2,529690,181730,1,2 Passenger,1 Male,16-24,18,1,3 Slight,-2 Unknown,-2 N/A,5 Taxi, 
0113EK40831,CAMDEN,2,528800,182850,1,3 Pedestrian,1 Male,25-59,33,1,2 Serious,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0113EK40832,CAMDEN,2,530080,181330,1,3 Pedestrian,1 Male,25-59,52,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0113EK40833,CAMDEN,2,529010,184170,1,1 Driver/Rider,1 Male,16-24,21,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40834,CAMDEN,2,530370,181490,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40835,CAMDEN,2,528960,184390,1,1 Driver/Rider,1 Male,16-24,20,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40837,CAMDEN,2,530320,183080,1,2 Passenger,2 Female,25-59,55,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40838,CAMDEN,2,528190,184380,1,1 Driver/Rider,1 Male,25-59,40,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40839,CAMDEN,2,526580,186220,1,1 Driver/Rider,1 Male,25-59,38,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40841,CAMDEN,2,526650,184440,1,1 Driver/Rider,1 Male,25-59,27,1,3 Slight,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40843,CAMDEN,2,529380,183430,1,3 Pedestrian,1 Male,25-59,35,1,3 Slight,05 Crossing Road (Not On Xing),3 From Drivers O/Side,1 Pedestrian, 
0113EK40847,CAMDEN,2,529310,183210,1,1 Driver/Rider,2 Female,25-59,32,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40848,CAMDEN,2,528940,184690,1,3 Pedestrian,2 Female,25-59,34,1,3 Slight,01 Crossing Road On Ped Xing,1 From Drivers N/Side,1 Pedestrian, 
0113EK40849,CAMDEN,2,528940,184680,1,3 Pedestrian,1 Male,16-24,24,1,3 Slight,06 On Footpath - Verge,9 Unknown Or Other,1 Pedestrian, 
0113EK40850,CAMDEN,2,528300,184330,1,2 Passenger,2 Female,25-59,47,1,3 Slight,-2 Unknown,-2 N/A,6 Bus Or Coach, 
0113EK40852,CAMDEN,2,529210,183920,1,1 Driver/Rider,1 Male,25-59,50,1,2 Serious,-2 Unknown,-2 N/A,3 Powered 2 Wheeler, 
0113EK40853,CAMDEN,2,529970,183190,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40856,CAMDEN,2,525250,185380,1,3 Pedestrian,2 Female,25-59,34,1,3 Slight,09 In Road - Not Crossing,5 In Rd Not Crossing,1 Pedestrian, 
0113EK40857,CAMDEN,2,529940,183200,1,1 Driver/Rider,1 Male,25-59,41,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40858,CAMDEN,2,529200,183560,1,1 Driver/Rider,1 Male,25-59,50,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
0113EK40859,CAMDEN,2,528370,185190,1,1 Driver/Rider,1 Male,25-59,35,1,2 Serious,-2 Unknown,-2 N/A,4 Car, 
0113EK40861,CAMDEN,2,530510,181500,1,1 Driver/Rider,1 Male,25-59,31,1,3 Slight,-2 Unknown,-2 N/A,2 Pedal Cycle, 
